Time,ValueTrading,VolumeTrading,Symbol
2024-11-14,13.1,0,ABR
2024-11-14,3.89,"197,200",ABS
2024-11-14,39.8,"5,300",ABT
2024-11-14,24.55,"5,795,300",ACB
2024-11-14,13.8,"225,300",ACC
2024-11-14,40.4,"6,900",ACG
2024-11-14,11.85,"4,400",ACL
2024-11-14,10.5,900,ADG
2024-11-14,28.8,600,ADP
2024-11-14,9.0,"128,600",ADS
2024-11-14,15.3,"150,700",AGG
2024-11-14,3.36,"160,700",AGM
2024-11-14,17.05,"932,800",AGR
2024-11-14,18.15,"2,525,000",ANV
2024-11-14,9.2,"92,100",APG
2024-11-14,6.28,"583,000",APH
2024-11-14,18.8,"2,000",ASG
2024-11-14,8.82,"1,035,700",ASM
2024-11-14,4.06,"2,300",ASP
2024-11-14,54.7,"5,700",AST
2024-11-14,22.6,"2,155,500",BAF
2024-11-14,50.0,900,BBC
2024-11-14,6.3,"479,800",BCE
2024-11-14,6.2,"5,499,300",BCG
2024-11-14,68.6,"761,600",BCM
2024-11-14,39.3,"818,000",BFC
2024-11-14,39.0,500,BHN
2024-11-14,32.55,"13,100",BIC
2024-11-14,45.5,"1,998,500",BID
2024-11-14,3.33,"48,300",BKG
2024-11-14,20.3,"108,100",BMC
2024-11-14,20.2,"40,600",BMI
2024-11-14,123.5,"238,400",BMP
2024-11-14,13.7,"50,100",BRC
2024-11-14,44.45,"752,600",BSI
2024-11-14,12.15,"7,800",BTP
2024-11-14,35.0,0,BTT
2024-11-14,44.35,"209,000",BVH
2024-11-14,44.6,"89,700",BWE
2024-11-14,17.4,"15,200",C32
2024-11-14,6.05,"5,900",C47
2024-11-14,21.4,0,CCI
2024-11-14,7.53,"278,400",CCL
2024-11-14,17.5,"1,159,000",CDC
2024-11-14,33.35,"46,900",CHP
2024-11-14,8.31,"413,900",CIG
2024-11-14,14.1,"2,282,600",CII
2024-11-14,24.8,"5,800",CKG
2024-11-14,48.95,"23,200",CLC
2024-11-14,37.8,"1,000",CLL
2024-11-14,45.45,100,CLW
2024-11-14,57.0,"2,624,800",CMG
2024-11-14,9.1,0,CMV
2024-11-14,7.88,"253,200",CMX
2024-11-14,31.6,"38,700",CNG
2024-11-14,33.45,"1,000",COM
2024-11-14,6.7,"111,900",CRC
2024-11-14,6.85,"62,200",CRE
2024-11-14,12.7,"632,100",CSM
2024-11-14,39.1,"2,927,500",CSV
2024-11-14,66.3,"1,158,200",CTD
2024-11-14,27.0,"175,300",CTF
2024-11-14,33.6,"5,270,200",CTG
2024-11-14,16.25,"424,800",CTI
2024-11-14,132.9,"1,261,600",CTR
2024-11-14,35.7,"1,115,300",CTS
2024-11-14,24.65,"1,500",CVT
2024-11-14,31.4,"57,200",D2D
2024-11-14,3.07,"59,000",DAH
2024-11-14,7.45,0,DAT
2024-11-14,26.75,"7,010,200",DBC
2024-11-14,48.25,"76,300",DBD
2024-11-14,11.9,"58,100",DBT
