Feature,2023_x,2023_y,Compare
TÀI SẢN,0.0,0.0,1
A- TÀI SẢN NGẮN HẠN,6323307618.899,0.0,0
I. Tiền và các khoản tương đương tiền,106824262.936,0.0,0
1. Tiền,0.0,0.0,1
2. Các khoản tương đương tiền,0.0,0.0,1
II. Các khoản đầu tư tài chính ngắn hạn,7026429.284,0.0,0
1. Chứng khoán kinh doanh,0.0,0.0,1
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,1
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,1
III. Các khoản phải thu ngắn hạn,5274697262.5,0.0,0
1. Phải thu ngắn hạn của khách hàng,0.0,0.0,1
2. Trả trước cho người bán ngắn hạn,0.0,0.0,1
3. Phải thu nội bộ ngắn hạn,0.0,0.0,1
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0.0,0.0,1
5. Phải thu về cho vay ngắn hạn,0.0,0.0,1
6. Phải thu ngắn hạn khác,0.0,0.0,1
7. Dự phòng phải thu ngắn hạn khó đòi,0.0,0.0,1
8. Tài sản Thiếu chờ xử lý,0.0,0.0,1
IV. Hàng tồn kho,888630221.242,0.0,0
1. Hàng tồn kho,0.0,0.0,1
2. Dự phòng giảm giá hàng tồn kho,0.0,0.0,1
V.Tài sản ngắn hạn khác,46129442.937,0.0,0
1. Chi phí trả trước ngắn hạn,0.0,0.0,1
2. Thuế GTGT được khấu trừ,0.0,0.0,1
3. Thuế và các khoản khác phải thu Nhà nước,0.0,0.0,1
4. Giao dịch mua bán lại trái phiếu Chính phủ,0.0,0.0,1
5. Tài sản ngắn hạn khác,0.0,0.0,1
B. TÀI SẢN DÀI HẠN,6877527289.607,0.0,0
I. Các khoản phải thu dài hạn,3711400000.0,0.0,0
1. Phải thu dài hạn của khách hàng,0.0,0.0,1
2. Trả trước cho người bán dài hạn,0.0,0.0,1
3. Vốn kinh doanh ở đơn vị trực thuộc,0.0,0.0,1
4. Phải thu nội bộ dài hạn,0.0,0.0,1
5. Phải thu về cho vay dài hạn,0.0,0.0,1
6. Phải thu dài hạn khác,0.0,0.0,1
7. Dự phòng phải thu dài hạn khó đòi,0.0,0.0,1
II.Tài sản cố định,77740551.582,0.0,0
1. Tài sản cố định hữu hình,0.0,0.0,1
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
- Nguyên giá,1172121298.925,0.0,0
