field,2024,2023
TÀI SẢN__1,,
A- TÀI SẢN NGẮN HẠN__1,,434195080149.0
I. Tiền và các khoản tương đương tiền__1,,567347705.0
. Tiền__1,,567347705.0
. Các khoản tương đương tiền__1,,
II. Các khoản đầu tư tài chính ngắn hạn__1,,
. Chứng khoán kinh doanh__1,,
. Dự phòng giảm giá chứng khoán kinh doanh__1,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,
III. Các khoản phải thu ngắn hạn__1,,376364559717.0
. Phải thu ngắn hạn của khách hàng__1,,133306192252.0
. Trả trước cho người bán ngắn hạn__1,,38433004852.0
. Phải thu nội bộ ngắn hạn__1,,
. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng__1,,10618384771.0
. Phải thu về cho vay ngắn hạn__1,,27025319116.0
. Phải thu ngắn hạn khác__1,,200121367083.0
. Dự phòng phải thu ngắn hạn khó đòi__1,,-33139708357.0
. Tài sản Thiếu chờ xử lý__1,,
IV. Hàng tồn kho__1,,57137585503.0
. Hàng tồn kho__1,,57137585503.0
. Dự phòng giảm giá hàng tồn kho__1,,
V.Tài sản ngắn hạn khác__1,,125587224.0
. Chi phí trả trước ngắn hạn__1,,62937716.0
. Thuế GTGT được khấu trừ__1,,62649508.0
. Thuế và các khoản khác phải thu Nhà nước__1,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,
. Tài sản ngắn hạn khác__1,,
B. TÀI SẢN DÀI HẠN__1,,16989423580.0
I. Các khoản phải thu dài hạn__1,,2141180134.0
. Phải thu dài hạn của khách hàng__1,,2141180134.0
. Trả trước cho người bán dài hạn__1,,
. Vốn kinh doanh ở đơn vị trực thuộc__1,,
. Phải thu nội bộ dài hạn__1,,
. Phải thu về cho vay dài hạn__1,,
. Phải thu dài hạn khác__1,,
. Dự phòng phải thu dài hạn khó đòi__1,,
II.Tài sản cố định__1,,11133306901.0
. Tài sản cố định hữu hình__1,,11133306901.0
- Nguyên giá__1,,29306669641.0
- Giá trị hao mòn lũy kế__1,,-18173362740.0
. Tài sản cố định thuê tài chính__1,,
- Nguyên giá__2,,
- Giá trị hao mòn lũy kế__2,,
. Tài sản cố định vô hình__1,,
- Nguyên giá__3,,1496038220.0
- Giá trị hao mòn lũy kế__3,,-1496038220.0
III. Bất động sản đầu tư__1,,
- Nguyên giá__4,,
- Giá trị hao mòn lũy kế__4,,
IV. Tài sản dở dang dài hạn__1,,1090113570.0
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,
. Chi phí xây dựng cơ bản dở dang__1,,1090113570.0
V. Đầu tư tài chính dài hạn__1,,1956822975.0
. Đầu tư vào công ty con__1,,
". Đầu tư vào công ty liên kết, liên doanh__1",,1956822975.0
. Đầu tư góp vốn vào đơn vị khác__1,,
. Dự phòng đầu tư tài chính dài hạn__1,,
. Đầu tư nắm giữ đến ngày đáo hạn__2,,
VI. Tài sản dài hạn khác__1,,668000000.0
. Chi phí trả trước dài hạn__1,,668000000.0
. Tài sản thuế thu nhập hoãn lại__1,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,
. Tài sản dài hạn khác__1,,
. Lợi thế thương mại__1,,
TỔNG CỘNG TÀI SẢN__1,,451184503729.0
NGUỒN VỐN__1,,
C. NỢ PHẢI TRẢ__1,,485793735905.0
I. Nợ ngắn hạn__1,,423381416386.0
. Phải trả người bán ngắn hạn__1,,121349976353.0
. Người mua trả tiền trước ngắn hạn__1,,86357098651.0
. Thuế và các khoản phải nộp nhà nước__1,,10100664585.0
. Phải trả người lao động__1,,6260113315.0
. Chi phí phải trả ngắn hạn__1,,31030716616.0
. Phải trả nội bộ ngắn hạn__1,,
. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,10801668182.0
. Doanh thu chưa thực hiện ngắn hạn__1,,
. Phải trả ngắn hạn khác__1,,119609522153.0
. Vay và nợ thuê tài chính ngắn hạn__1,,17795605940.0
. Dự phòng phải trả ngắn hạn__1,,
. Quỹ khen thưởng phúc lợi__1,,20076050591.0
. Quỹ bình ổn giá__1,,
. Giao dịch mua bán lại trái phiếu Chính phủ__2,,
II. Nợ dài hạn__1,,62412319519.0
. Phải trả người bán dài hạn__1,,
. Người mua trả tiền trước dài hạn__1,,
. Chi phí phải trả dài hạn__1,,
. Phải trả nội bộ về vốn kinh doanh__1,,
. Phải trả nội bộ dài hạn__1,,
. Doanh thu chưa thực hiện dài hạn__1,,
. Phải trả dài hạn khác__1,,62412319519.0
. Vay và nợ thuê tài chính dài hạn__1,,
. Trái phiếu chuyển đổi__1,,
. Cổ phiếu ưu đãi__1,,
. Thuế thu nhập hoãn lại phải trả__1,,
. Dự phòng phải trả dài hạn__1,,
. Quỹ phát triển khoa học và công nghệ__1,,
D.VỐN CHỦ SỞ HỮU__1,,-34609232176.0
I. Vốn chủ sở hữu__1,,-34609232176.0
. Vốn góp của chủ sở hữu__1,,218460000000.0
- Cổ phiếu phổ thông có quyền biểu quyết__1,,218460000000.0
- Cổ phiếu ưu đãi__1,,
. Thặng dư vốn cổ phần__1,,5000000000.0
. Quyền chọn chuyển đổi trái phiếu__1,,
. Vốn khác của chủ sở hữu__1,,380952382.0
. Cổ phiếu quỹ__1,,
. Chênh lệch đánh giá lại tài sản__1,,
. Chênh lệch tỷ giá hối đoái__1,,
. Quỹ đầu tư phát triển__1,,23453682587.0
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,
. Lợi nhuận sau thuế chưa phân phối__1,,-281903867145.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,,-281901372345.0
- LNST chưa phân phối kỳ này__1,,-2494800.0
. Nguồn vốn đầu tư XDCB__1,,
. Lợi ích cổ đông không kiểm soát__1,,
II. Nguồn kinh phí và quỹ khác__1,,
. Nguồn kinh phí__1,,
. Nguồn kinh phí đã hình thành TSCĐ__1,,
TỔNG CỘNG NGUỒN VỐN__1,,451184503729.0
. Doanh thu bán hàng và cung cấp dịch vụ__1,,
. Các khoản giảm trừ doanh thu__1,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ ( =  - )__1,,
. Giá vốn hàng bán__1,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(=-)__1,,
. Doanh thu hoạt động tài chính__1,,
. Chi phí tài chính__1,,
- Trong đó: Chi phí lãi vay__1,,
". Phần lãi lỗ trong công ty liên doanh, liên kết__1",,
. Chi phí bán hàng__1,,
. Chi phí quản lý doanh nghiệp__1,,2494800.0
. Lợi nhuận thuần từ hoạt động kinh doanh{=+(-) +  - (+)}__1,,-2494800.0
. Thu nhập khác__1,,
. Chi phí khác__1,,
. Lợi nhuận khác(=-)__1,,
. Tổng lợi nhuận kế toán trước thuế(=+)__1,,-2494800.0
. Chi phí thuế TNDN hiện hành__1,,
. Chi phí thuế TNDN hoãn lại__1,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp(=--)__1,,-2494800.0
. Lợi nhuận sau thuế công ty mẹ__1,,-2494800.0
. Lợi nhuận sau thuế công ty mẹ không kiểm soát__1,,
. Lãi cơ bản trên cổ phiếu(*)__1,,
. Lãi suy giảm trên cổ phiếu (*)__1,,
