field,2024,2023
TÀI SẢN__1,,
A- TÀI SẢN NGẮN HẠN__1,,952336589221.0
I. Tiền và các khoản tương đương tiền__1,,102662830867.0
. Tiền__1,,28462830867.0
. Các khoản tương đương tiền__1,,74200000000.0
II. Các khoản đầu tư tài chính ngắn hạn__1,,700749589041.0
. Chứng khoán kinh doanh__1,,
. Dự phòng giảm giá chứng khoán kinh doanh__1,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,700749589041.0
III. Các khoản phải thu ngắn hạn__1,,68621800142.0
. Phải thu ngắn hạn của khách hàng__1,,76730872912.0
. Trả trước cho người bán ngắn hạn__1,,8851840062.0
. Phải thu nội bộ ngắn hạn__1,,
. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng__1,,
. Phải thu về cho vay ngắn hạn__1,,
. Phải thu ngắn hạn khác__1,,20949770384.0
. Dự phòng phải thu ngắn hạn khó đòi__1,,-37910683216.0
. Tài sản Thiếu chờ xử lý__1,,
IV. Hàng tồn kho__1,,76802174149.0
. Hàng tồn kho__1,,76802174149.0
. Dự phòng giảm giá hàng tồn kho__1,,
V.Tài sản ngắn hạn khác__1,,3500195022.0
. Chi phí trả trước ngắn hạn__1,,3460660912.0
. Thuế GTGT được khấu trừ__1,,
. Thuế và các khoản khác phải thu Nhà nước__1,,39534110.0
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,
. Tài sản ngắn hạn khác__1,,
B. TÀI SẢN DÀI HẠN__1,,475056991427.0
I. Các khoản phải thu dài hạn__1,,2586303754.0
. Phải thu dài hạn của khách hàng__1,,205000000.0
. Trả trước cho người bán dài hạn__1,,
. Vốn kinh doanh ở đơn vị trực thuộc__1,,
. Phải thu nội bộ dài hạn__1,,
. Phải thu về cho vay dài hạn__1,,
. Phải thu dài hạn khác__1,,6248303754.0
. Dự phòng phải thu dài hạn khó đòi__1,,-3867000000.0
II.Tài sản cố định__1,,433894737237.0
. Tài sản cố định hữu hình__1,,399755042929.0
- Nguyên giá__1,,1812056105998.0
- Giá trị hao mòn lũy kế__1,,-1412301063069.0
. Tài sản cố định thuê tài chính__1,,
- Nguyên giá__2,,
- Giá trị hao mòn lũy kế__2,,
. Tài sản cố định vô hình__1,,34139694308.0
- Nguyên giá__3,,34622452920.0
- Giá trị hao mòn lũy kế__3,,-482758612.0
III. Bất động sản đầu tư__1,,
- Nguyên giá__4,,
- Giá trị hao mòn lũy kế__4,,
IV. Tài sản dở dang dài hạn__1,,5087805000.0
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,
. Chi phí xây dựng cơ bản dở dang__1,,5087805000.0
V. Đầu tư tài chính dài hạn__1,,6383410964.0
. Đầu tư vào công ty con__1,,
". Đầu tư vào công ty liên kết, liên doanh__1",,
. Đầu tư góp vốn vào đơn vị khác__1,,60587790000.0
. Dự phòng đầu tư tài chính dài hạn__1,,-54204379036.0
. Đầu tư nắm giữ đến ngày đáo hạn__2,,
VI. Tài sản dài hạn khác__1,,27104734472.0
. Chi phí trả trước dài hạn__1,,16936616665.0
. Tài sản thuế thu nhập hoãn lại__1,,10168117807.0
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,
. Tài sản dài hạn khác__1,,
. Lợi thế thương mại__1,,
TỔNG CỘNG TÀI SẢN__1,,1427393580648.0
NGUỒN VỐN__1,,
C. NỢ PHẢI TRẢ__1,,152683345260.0
I. Nợ ngắn hạn__1,,137115976875.0
. Phải trả người bán ngắn hạn__1,,20104081613.0
. Người mua trả tiền trước ngắn hạn__1,,346196748.0
. Thuế và các khoản phải nộp nhà nước__1,,5200278036.0
. Phải trả người lao động__1,,14552339712.0
. Chi phí phải trả ngắn hạn__1,,2328830543.0
. Phải trả nội bộ ngắn hạn__1,,
. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,
. Doanh thu chưa thực hiện ngắn hạn__1,,
. Phải trả ngắn hạn khác__1,,11524861565.0
. Vay và nợ thuê tài chính ngắn hạn__1,,
. Dự phòng phải trả ngắn hạn__1,,56341590408.0
. Quỹ khen thưởng phúc lợi__1,,26717798250.0
. Quỹ bình ổn giá__1,,
. Giao dịch mua bán lại trái phiếu Chính phủ__2,,
II. Nợ dài hạn__1,,15567368385.0
. Phải trả người bán dài hạn__1,,
. Người mua trả tiền trước dài hạn__1,,65277000.0
. Chi phí phải trả dài hạn__1,,
. Phải trả nội bộ về vốn kinh doanh__1,,
. Phải trả nội bộ dài hạn__1,,
. Doanh thu chưa thực hiện dài hạn__1,,
. Phải trả dài hạn khác__1,,
. Vay và nợ thuê tài chính dài hạn__1,,
. Trái phiếu chuyển đổi__1,,
. Cổ phiếu ưu đãi__1,,
. Thuế thu nhập hoãn lại phải trả__1,,14853758052.0
. Dự phòng phải trả dài hạn__1,,648333333.0
. Quỹ phát triển khoa học và công nghệ__1,,
D.VỐN CHỦ SỞ HỮU__1,,1274710235388.0
I. Vốn chủ sở hữu__1,,1274710235388.0
. Vốn góp của chủ sở hữu__1,,684709410000.0
- Cổ phiếu phổ thông có quyền biểu quyết__1,,684709410000.0
- Cổ phiếu ưu đãi__1,,
. Thặng dư vốn cổ phần__1,,10935240106.0
. Quyền chọn chuyển đổi trái phiếu__1,,
. Vốn khác của chủ sở hữu__1,,
. Cổ phiếu quỹ__1,,
. Chênh lệch đánh giá lại tài sản__1,,
. Chênh lệch tỷ giá hối đoái__1,,
. Quỹ đầu tư phát triển__1,,306357134201.0
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,
. Lợi nhuận sau thuế chưa phân phối__1,,272708451081.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,,185770378882.0
- LNST chưa phân phối kỳ này__1,,86938072199.0
. Nguồn vốn đầu tư XDCB__1,,
. Lợi ích cổ đông không kiểm soát__1,,
II. Nguồn kinh phí và quỹ khác__1,,
. Nguồn kinh phí__1,,
. Nguồn kinh phí đã hình thành TSCĐ__1,,
TỔNG CỘNG NGUỒN VỐN__1,,1427393580648.0
. Doanh thu bán hàng và cung cấp dịch vụ__1,,549613585467.0
. Các khoản giảm trừ doanh thu__1,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ ( =  - )__1,,549613585467.0
. Giá vốn hàng bán__1,,432355190867.0
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(=-)__1,,117258394600.0
. Doanh thu hoạt động tài chính__1,,53923340320.0
. Chi phí tài chính__1,,412855787.0
- Trong đó: Chi phí lãi vay__1,,
". Phần lãi lỗ trong công ty liên doanh, liên kết__1",,-1749423599.0
. Chi phí bán hàng__1,,3688228087.0
. Chi phí quản lý doanh nghiệp__1,,57772103383.0
. Lợi nhuận thuần từ hoạt động kinh doanh{=+(-) +  - (+)}__1,,107559124064.0
. Thu nhập khác__1,,1306790776.0
. Chi phí khác__1,,197436516.0
. Lợi nhuận khác(=-)__1,,1109354260.0
. Tổng lợi nhuận kế toán trước thuế(=+)__1,,108668478324.0
. Chi phí thuế TNDN hiện hành__1,,21253083758.0
. Chi phí thuế TNDN hoãn lại__1,,477322367.0
. Lợi nhuận sau thuế thu nhập doanh nghiệp(=--)__1,,86938072199.0
. Lợi nhuận sau thuế công ty mẹ__1,,86938072199.0
. Lợi nhuận sau thuế công ty mẹ không kiểm soát__1,,
. Lãi cơ bản trên cổ phiếu(*)__1,,1079.0
. Lãi suy giảm trên cổ phiếu (*)__1,,
