field,2024,2023
TÀI SẢN__1,,
A- TÀI SẢN NGẮN HẠN__1,,1203632846416.0
I. Tiền và các khoản tương đương tiền__1,,55624745665.0
. Tiền__1,,23624745665.0
. Các khoản tương đương tiền__1,,32000000000.0
II. Các khoản đầu tư tài chính ngắn hạn__1,,41000000000.0
. Chứng khoán kinh doanh__1,,
. Dự phòng giảm giá chứng khoán kinh doanh__1,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,41000000000.0
III. Các khoản phải thu ngắn hạn__1,,781327819421.0
. Phải thu ngắn hạn của khách hàng__1,,434192796760.0
. Trả trước cho người bán ngắn hạn__1,,198521228402.0
. Phải thu nội bộ ngắn hạn__1,,
. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng__1,,
. Phải thu về cho vay ngắn hạn__1,,2236165453.0
. Phải thu ngắn hạn khác__1,,183759830456.0
. Dự phòng phải thu ngắn hạn khó đòi__1,,-37382201650.0
. Tài sản Thiếu chờ xử lý__1,,
IV. Hàng tồn kho__1,,325582153885.0
. Hàng tồn kho__1,,325582153885.0
. Dự phòng giảm giá hàng tồn kho__1,,
V.Tài sản ngắn hạn khác__1,,98127445.0
. Chi phí trả trước ngắn hạn__1,,98047445.0
. Thuế GTGT được khấu trừ__1,,80000.0
. Thuế và các khoản khác phải thu Nhà nước__1,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,
. Tài sản ngắn hạn khác__1,,
B. TÀI SẢN DÀI HẠN__1,,249326642977.0
I. Các khoản phải thu dài hạn__1,,4899235728.0
. Phải thu dài hạn của khách hàng__1,,
. Trả trước cho người bán dài hạn__1,,
. Vốn kinh doanh ở đơn vị trực thuộc__1,,
. Phải thu nội bộ dài hạn__1,,
. Phải thu về cho vay dài hạn__1,,1536113428.0
. Phải thu dài hạn khác__1,,3363122300.0
. Dự phòng phải thu dài hạn khó đòi__1,,
II.Tài sản cố định__1,,213951708410.0
. Tài sản cố định hữu hình__1,,176840406689.0
- Nguyên giá__1,,596091300714.0
- Giá trị hao mòn lũy kế__1,,-419250894025.0
. Tài sản cố định thuê tài chính__1,,33398221721.0
- Nguyên giá__2,,37688331558.0
- Giá trị hao mòn lũy kế__2,,-4290109837.0
. Tài sản cố định vô hình__1,,3713080000.0
- Nguyên giá__3,,3713080000.0
- Giá trị hao mòn lũy kế__3,,
III. Bất động sản đầu tư__1,,
- Nguyên giá__4,,2134315384.0
- Giá trị hao mòn lũy kế__4,,-2134315384.0
IV. Tài sản dở dang dài hạn__1,,9001562600.0
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,9001562600.0
. Chi phí xây dựng cơ bản dở dang__1,,
V. Đầu tư tài chính dài hạn__1,,690000000.0
. Đầu tư vào công ty con__1,,
". Đầu tư vào công ty liên kết, liên doanh__1",,
. Đầu tư góp vốn vào đơn vị khác__1,,6062500000.0
. Dự phòng đầu tư tài chính dài hạn__1,,-5372500000.0
. Đầu tư nắm giữ đến ngày đáo hạn__2,,
VI. Tài sản dài hạn khác__1,,20784136239.0
. Chi phí trả trước dài hạn__1,,20784136239.0
. Tài sản thuế thu nhập hoãn lại__1,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,
. Tài sản dài hạn khác__1,,
. Lợi thế thương mại__1,,
TỔNG CỘNG TÀI SẢN__1,,1452959489393.0
NGUỒN VỐN__1,,
C. NỢ PHẢI TRẢ__1,,1099330348691.0
I. Nợ ngắn hạn__1,,1065064220512.0
. Phải trả người bán ngắn hạn__1,,269426926820.0
. Người mua trả tiền trước ngắn hạn__1,,207194146209.0
. Thuế và các khoản phải nộp nhà nước__1,,8843597579.0
. Phải trả người lao động__1,,7879418842.0
. Chi phí phải trả ngắn hạn__1,,44260308912.0
. Phải trả nội bộ ngắn hạn__1,,
. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,
. Doanh thu chưa thực hiện ngắn hạn__1,,2108728782.0
. Phải trả ngắn hạn khác__1,,10508501865.0
. Vay và nợ thuê tài chính ngắn hạn__1,,514842367136.0
. Dự phòng phải trả ngắn hạn__1,,
. Quỹ khen thưởng phúc lợi__1,,224367.0
. Quỹ bình ổn giá__1,,
. Giao dịch mua bán lại trái phiếu Chính phủ__2,,
II. Nợ dài hạn__1,,34266128179.0
. Phải trả người bán dài hạn__1,,
. Người mua trả tiền trước dài hạn__1,,
. Chi phí phải trả dài hạn__1,,
. Phải trả nội bộ về vốn kinh doanh__1,,
. Phải trả nội bộ dài hạn__1,,
. Doanh thu chưa thực hiện dài hạn__1,,
. Phải trả dài hạn khác__1,,1176062000.0
. Vay và nợ thuê tài chính dài hạn__1,,33090066179.0
. Trái phiếu chuyển đổi__1,,
. Cổ phiếu ưu đãi__1,,
. Thuế thu nhập hoãn lại phải trả__1,,
. Dự phòng phải trả dài hạn__1,,
. Quỹ phát triển khoa học và công nghệ__1,,
D.VỐN CHỦ SỞ HỮU__1,,353629140702.0
I. Vốn chủ sở hữu__1,,353629140702.0
. Vốn góp của chủ sở hữu__1,,237589510000.0
- Cổ phiếu phổ thông có quyền biểu quyết__1,,237589510000.0
- Cổ phiếu ưu đãi__1,,
. Thặng dư vốn cổ phần__1,,30000000000.0
. Quyền chọn chuyển đổi trái phiếu__1,,
. Vốn khác của chủ sở hữu__1,,
. Cổ phiếu quỹ__1,,
. Chênh lệch đánh giá lại tài sản__1,,
. Chênh lệch tỷ giá hối đoái__1,,
. Quỹ đầu tư phát triển__1,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,
. Lợi nhuận sau thuế chưa phân phối__1,,86010256943.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,,81352576922.0
- LNST chưa phân phối kỳ này__1,,4657680021.0
. Nguồn vốn đầu tư XDCB__1,,
. Lợi ích cổ đông không kiểm soát__1,,29373759.0
II. Nguồn kinh phí và quỹ khác__1,,
. Nguồn kinh phí__1,,
. Nguồn kinh phí đã hình thành TSCĐ__1,,
TỔNG CỘNG NGUỒN VỐN__1,,1452959489393.0
. Doanh thu bán hàng và cung cấp dịch vụ__1,,1172412058367.0
. Các khoản giảm trừ doanh thu__1,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ ( =  - )__1,,1172412058367.0
. Giá vốn hàng bán__1,,1085062410076.0
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(=-)__1,,87349648291.0
. Doanh thu hoạt động tài chính__1,,9133961017.0
. Chi phí tài chính__1,,50597825498.0
- Trong đó: Chi phí lãi vay__1,,50597825498.0
". Phần lãi lỗ trong công ty liên doanh, liên kết__1",,
. Chi phí bán hàng__1,,
. Chi phí quản lý doanh nghiệp__1,,44683596784.0
. Lợi nhuận thuần từ hoạt động kinh doanh{=+(-) +  - (+)}__1,,1202187026.0
. Thu nhập khác__1,,10435194144.0
. Chi phí khác__1,,142128648.0
. Lợi nhuận khác(=-)__1,,10293065496.0
. Tổng lợi nhuận kế toán trước thuế(=+)__1,,11495252522.0
. Chi phí thuế TNDN hiện hành__1,,6834112089.0
. Chi phí thuế TNDN hoãn lại__1,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp(=--)__1,,4661140433.0
. Lợi nhuận sau thuế công ty mẹ__1,,4657680022.0
. Lợi nhuận sau thuế công ty mẹ không kiểm soát__1,,3460411.0
. Lãi cơ bản trên cổ phiếu(*)__1,,196.0
. Lãi suy giảm trên cổ phiếu (*)__1,,196.0
