field,2024,2023
- Cổ phiếu phổ thông có quyền biểu quyết,,728800000000.0
- Cổ phiếu ưu đãi,,
- Giá trị hao mòn lũy kế,,-9566732595.0
- LNST chưa phân phối kỳ này,,94153534982.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,184891708688.0
- Nguyên giá,,1508242011291.0
- Trong đó: Chi phí lãi vay,,45942326390.0
. Chi phí bán hàng,,92582404275.0
. Chi phí khác,,1615814325.0
. Chi phí phải trả dài hạn,,
. Chi phí phải trả ngắn hạn,,24260845667.0
. Chi phí quản lý doanh nghiệp,,73591545890.0
". Chi phí sản xuất, kinh doanh dở dang dài hạn",,
. Chi phí thuế TNDN hiện hành,,24001577026.0
. Chi phí thuế TNDN hoãn lại,,298412403.0
. Chi phí trả trước dài hạn,,137478250500.0
. Chi phí trả trước ngắn hạn,,16202600873.0
. Chi phí tài chính,,50164360653.0
. Chi phí xây dựng cơ bản dở dang,,1908654472.0
. Chênh lệch tỷ giá hối đoái,,
. Chênh lệch đánh giá lại tài sản,,
. Chứng khoán kinh doanh,,
. Các khoản giảm trừ doanh thu,,1676922497.0
. Các khoản tương đương tiền,,17550000000.0
. Cổ phiếu quỹ,,
. Cổ phiếu ưu đãi,,
. Doanh thu bán hàng và cung cấp dịch vụ,,2040961680650.0
. Doanh thu chưa thực hiện dài hạn,,
. Doanh thu chưa thực hiện ngắn hạn,,
. Doanh thu hoạt động tài chính,,36269307014.0
. Doanh thu thuần về bán hàng và cung cấp dịch vụ ( =  - ),,2039284758153.0
. Dự phòng giảm giá chứng khoán kinh doanh,,
. Dự phòng giảm giá hàng tồn kho,,-2664744712.0
. Dự phòng phải thu dài hạn khó đòi,,
. Dự phòng phải thu ngắn hạn khó đòi,,-1602851976.0
. Dự phòng phải trả dài hạn,,
. Dự phòng phải trả ngắn hạn,,
. Dự phòng đầu tư tài chính dài hạn,,
. Giao dịch mua bán lại trái phiếu Chính phủ,,
. Giá vốn hàng bán,,1736658116472.0
. Hàng tồn kho,,233247299856.0
