field,2024,2023
- Cổ phiếu phổ thông có quyền biểu quyết,,
- Cổ phiếu ưu đãi,,
- Giá trị hao mòn lũy kế,,-331491000000.0
- LNST chưa phân phối kỳ này,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,
- Nguyên giá,,4825929000000.0
- Trong đó: Chi phí lãi vay,,2024.0
. Chi phí bán hàng,,
. Chi phí khác,,
. Chi phí phải trả dài hạn,,
. Chi phí phải trả ngắn hạn,,
. Chi phí quản lý doanh nghiệp,,7324758000000.0
". Chi phí sản xuất, kinh doanh dở dang dài hạn",,
. Chi phí thuế TNDN hiện hành,,
. Chi phí thuế TNDN hoãn lại,,
. Chi phí trả trước dài hạn,,
. Chi phí trả trước ngắn hạn,,
. Chi phí tài chính,,
. Chi phí xây dựng cơ bản dở dang,,
. Chênh lệch tỷ giá hối đoái,,
. Chênh lệch đánh giá lại tài sản,,
. Chứng khoán kinh doanh,,
. Các khoản giảm trừ doanh thu,,
. Các khoản tương đương tiền,,
. Cổ phiếu quỹ,,
. Cổ phiếu ưu đãi,,97152000000.0
. Doanh thu bán hàng và cung cấp dịch vụ,,
. Doanh thu chưa thực hiện dài hạn,,
. Doanh thu chưa thực hiện ngắn hạn,,
. Doanh thu hoạt động tài chính,,7324758000000.0
. Doanh thu thuần về bán hàng và cung cấp dịch vụ ( =  - ),,501021000000.0
. Dự phòng giảm giá chứng khoán kinh doanh,,
. Dự phòng giảm giá hàng tồn kho,,-60410000000.0
. Dự phòng phải thu dài hạn khó đòi,,-86996000000.0
. Dự phòng phải thu ngắn hạn khó đòi,,
. Dự phòng phải trả dài hạn,,
. Dự phòng phải trả ngắn hạn,,65286090000000.0
. Dự phòng đầu tư tài chính dài hạn,,3230825000000.0
. Giao dịch mua bán lại trái phiếu Chính phủ,,
. Giá vốn hàng bán,,67385000000.0
. Hàng tồn kho,,7853152000000.0
. Lãi cơ bản trên cổ phiếu(*),,
. Lãi suy giảm trên cổ phiếu (*),,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(=-),,1914263000000.0
. Lợi nhuận khác(=-),,
. Lợi nhuận sau thuế chưa phân phối,,
. Lợi nhuận sau thuế công ty mẹ,,
. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp(=--),,
. Lợi nhuận thuần từ hoạt động kinh doanh{=+(-) +  - (+)},,
. Lợi thế thương mại,,
. Lợi ích cổ đông không kiểm soát,,
. Nguồn kinh phí,,
. Nguồn kinh phí đã hình thành TSCĐ,,
. Nguồn vốn đầu tư XDCB,,
. Người mua trả tiền trước dài hạn,,
. Người mua trả tiền trước ngắn hạn,,
. Phải thu dài hạn của khách hàng,,
. Phải thu dài hạn khác,,
. Phải thu ngắn hạn của khách hàng,,54825905000000.0
. Phải thu ngắn hạn khác,,
. Phải thu nội bộ dài hạn,,158272000000.0
. Phải thu nội bộ ngắn hạn,,
. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,
. Phải thu về cho vay dài hạn,,
. Phải thu về cho vay ngắn hạn,,
. Phải trả dài hạn khác,,
. Phải trả người bán dài hạn,,
. Phải trả người bán ngắn hạn,,
. Phải trả người lao động,,
. Phải trả ngắn hạn khác,,
. Phải trả nội bộ dài hạn,,
. Phải trả nội bộ ngắn hạn,,
. Phải trả nội bộ về vốn kinh doanh,,
. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,
". Phần lãi lỗ trong công ty liên doanh, liên kết",,21328397000000.0
. Quyền chọn chuyển đổi trái phiếu,,1449603000000.0
. Quỹ bình ổn giá,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp,,
. Quỹ khen thưởng phúc lợi,,5480204000000.0
. Quỹ khác thuộc vốn chủ sở hữu,,5138098000000.0
. Quỹ phát triển khoa học và công nghệ,,
. Quỹ đầu tư phát triển,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn",,
. Thu nhập khác,,
. Thuế GTGT được khấu trừ,,
. Thuế thu nhập hoãn lại phải trả,,
. Thuế và các khoản khác phải thu Nhà nước,,
. Thuế và các khoản phải nộp nhà nước,,
. Thặng dư vốn cổ phần,,
. Tiền,,
. Trái phiếu chuyển đổi,,
. Trả trước cho người bán dài hạn,,
. Trả trước cho người bán ngắn hạn,,8841433000000.0
. Tài sản Thiếu chờ xử lý,,-118410000000.0
. Tài sản cố định hữu hình,,734978000000.0
. Tài sản cố định thuê tài chính,,
. Tài sản cố định vô hình,,4494438000000.0
. Tài sản dài hạn khác,,
. Tài sản ngắn hạn khác,,
. Tài sản thuế thu nhập hoãn lại,,
. Tổng lợi nhuận kế toán trước thuế(=+),,
. Vay và nợ thuê tài chính dài hạn,,
. Vay và nợ thuê tài chính ngắn hạn,,70766294000000.0
. Vốn góp của chủ sở hữu,,36193981000000.0
. Vốn khác của chủ sở hữu,,-5260000000.0
. Vốn kinh doanh ở đơn vị trực thuộc,,343172000000.0
. Đầu tư góp vốn vào đơn vị khác,,
