field,2024,2023
- Cổ phiếu phổ thông có quyền biểu quyết,,1313532640000.0
- Cổ phiếu ưu đãi,,
- Giá trị hao mòn lũy kế,,-13114768281.0
- LNST chưa phân phối kỳ này,,26858708163.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,30555633680.0
- Nguyên giá,,102179503617.0
- Trong đó: Chi phí lãi vay,,21505000199.0
. Chi phí bán hàng,,14260496293.0
. Chi phí khác,,22149929089.0
. Chi phí phải trả dài hạn,,
. Chi phí phải trả ngắn hạn,,27448675197.0
. Chi phí quản lý doanh nghiệp,,66900478155.0
". Chi phí sản xuất, kinh doanh dở dang dài hạn",,
. Chi phí thuế TNDN hiện hành,,-1545560455.0
. Chi phí thuế TNDN hoãn lại,,3950719062.0
. Chi phí trả trước dài hạn,,1484504008.0
. Chi phí trả trước ngắn hạn,,50416954766.0
. Chi phí tài chính,,23482415579.0
. Chi phí xây dựng cơ bản dở dang,,13367018518.0
. Chênh lệch tỷ giá hối đoái,,
. Chênh lệch đánh giá lại tài sản,,
. Chứng khoán kinh doanh,,
. Các khoản giảm trừ doanh thu,,2699840733.0
. Các khoản tương đương tiền,,4200000000.0
. Cổ phiếu quỹ,,
. Cổ phiếu ưu đãi,,
. Doanh thu bán hàng và cung cấp dịch vụ,,414366625633.0
. Doanh thu chưa thực hiện dài hạn,,
. Doanh thu chưa thực hiện ngắn hạn,,
. Doanh thu hoạt động tài chính,,43586401680.0
. Doanh thu thuần về bán hàng và cung cấp dịch vụ ( =  - ),,411666784900.0
. Dự phòng giảm giá chứng khoán kinh doanh,,
. Dự phòng giảm giá hàng tồn kho,,-34555718986.0
. Dự phòng phải thu dài hạn khó đòi,,
. Dự phòng phải thu ngắn hạn khó đòi,,-81811013552.0
. Dự phòng phải trả dài hạn,,
. Dự phòng phải trả ngắn hạn,,
. Dự phòng đầu tư tài chính dài hạn,,-11167364491.0
. Giao dịch mua bán lại trái phiếu Chính phủ,,
. Giá vốn hàng bán,,296480952992.0
. Hàng tồn kho,,63724327379.0
. Lãi cơ bản trên cổ phiếu(*),,565.0
. Lãi suy giảm trên cổ phiếu (*),,565.0
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(=-),,115185831908.0
. Lợi nhuận khác(=-),,-20350770574.0
. Lợi nhuận sau thuế chưa phân phối,,57414341843.0
. Lợi nhuận sau thuế công ty mẹ,,26179210491.0
. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,339748836.0
. Lợi nhuận sau thuế thu nhập doanh nghiệp(=--),,26518959327.0
