HLC,Unnamed: 1,Unnamed: 2,2022,2023
Giai đoạn,,,01/01-31/12,01/01-31/12
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Kiểm toán,Kiểm toán
Công ty kiểm toán,,,PKF,AFC
Ý kiến kiểm toán,,,Chấp nhận toàn phần,Chấp nhận toàn phần
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,1072425802,966048642
I. Tiền và các khoản tương đương tiền,,,5497538,7190686
1. Tiền,,,5497538,7190686
2. Các khoản tương đương tiền,,,,
II. Đầu tư tài chính ngắn hạn,,,,
1. Chứng khoán kinh doanh,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,
III. Các khoản phải thu ngắn hạn,,,978119033,810018937
1. Phải thu ngắn hạn của khách hàng,,,972255326,803294494
2. Trả trước cho người bán ngắn hạn,,,6483875,7074036
3. Phải thu nội bộ ngắn hạn,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
5. Phải thu về cho vay ngắn hạn,,,,
6. Phải thu ngắn hạn khác,,,33736,17341
7. Dự phòng phải thu ngắn hạn khó đòi (*),,,-653904,-366933
8. Tài sản thiếu chờ xử lý,,,,
IV. Hàng tồn kho,,,86231365,146960170
1. Hàng tồn kho,,,86231365,146960170
2. Dự phòng giảm giá hàng tồn kho (*),,,,
V. Tài sản ngắn hạn khác,,,2577866,1878849
1. Chi phí trả trước ngắn hạn,,,40401,34855
2. Thuế GTGT được khấu trừ,,,,
3. Thuế và các khoản khác phải thu của nhà nước,,,2537465,1843993
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,
5. Tài sản ngắn hạn khác,,,,
B. TÀI SẢN DÀI HẠN,,,1787837551,1281461203
I. Các khoản phải thu dài hạn,,,31218327,33552574
1. Phải thu dài hạn của khách hàng,,,,
2. Trả trước cho người bán dài hạn,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,
4. Phải thu nội bộ dài hạn,,,,
5. Phải thu về cho vay dài hạn,,,,
6. Phải thu dài hạn khác,,,31218327,33552574
7. Dự phòng phải thu dài hạn khó đòi (*),,,,
II. Tài sản cố định,,,1537563963,1070950357
1. Tài sản cố định hữu hình,,,1534040363,1069190834
- Nguyên giá__1. Tài sản cố định hữu hình,,,5767979056,5800670203
- Giá trị hao mòn lũy kế (*),,,-4233938693,-4731479370
2. Tài sản cố định thuê tài chính,,,,
- Nguyên giá__2. Tài sản cố định thuê tài chính,,,,
- Giá trị hao mòn lũy kế (*),,,,
3. Tài sản cố định vô hình,,,3523600,1759523
- Nguyên giá__3. Tài sản cố định vô hình,,,9496805,9496805
- Giá trị hao mòn lũy kế (*),,,-5973205,-7737282
III. Bất động sản đầu tư,,,,
- Nguyên giá__III. Bất động sản đầu tư,,,,
- Giá trị hao mòn lũy kế (*),,,,
IV. Tài sản dở dang dài hạn,,,44830747,49705600
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,
2. Chi phí xây dựng cơ bản dở dang,,,44830747,49705600
V. Đầu tư tài chính dài hạn,,,,
1. Đầu tư vào công ty con,,,,
2. Đầu tư vào công ty liên kết. liên doanh,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
6. Đầu tư dài hạn khác,,,,
VI. Tài sản dài hạn khác,,,174224515,127252673
1. Chi phí trả trước dài hạn,,,163507333,116535491
2. Tài sản thuế thu nhập hoãn lại,,,10717182,10717182
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
4. Tài sản dài hạn khác,,,,
,,,,
VII. Lợi thế thương mại,,,,
TỔNG CỘNG TÀI SẢN,,,2860263354,2247509845
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,2487698624,1825793825
