LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Mới nhất,Mới nhất
Kiểm toán,,,VST Tính,VST Tính
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,,,840181679,-1329331939
2. Điều chỉnh cho các khoản,,,,
Khấu hao TSCĐ và BĐSĐT,,,554679181,552328503
Các khoản dự phòng,,,64170491,177335513
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,-44805881,-114942122
"Lãi, lỗ từ hoạt động đầu tư",,,-676339492,-287024603
Chi phí lãi vay,,,50277170,70403726
"Lãi, lỗ từ thanh lý TSCĐ",,,,
Thu nhập lãi vay và cổ tức,,,,
Phân bổ lợi thế thương mại,,,,
Điều chỉnh cho các khoản khác,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,,788163147,-931230923
"Tăng, giảm các khoản phải thu",,,-6153236036,4168569325
"Tăng, giảm hàng tồn kho",,,-6139799184,-3548694299
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,,5813828284,4950197731
"Tăng, giảm chi phí trả trước",,,-1651139969,167109265
"Tăng, giảm chứng khoán kinh doanh",,,,
Tiền lãi vay đã trả,,,-26373496,-65770515
Thuế thu nhập doanh nghiệp đã nộp,,,-171929495,-1918
Tiền thu khác từ hoạt động kinh doanh,,,1236,
Tiền chi khác cho hoạt động kinh doanh,,,-48822159,-59617417
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,-7589307672,4680561252
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,-177033399,-118420145
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,510500,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,-2300000000,-11350000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,7000000000,11050000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,279115519,434427208
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,4802592620,16007063
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,
3. Tiền thu từ đi vay,,,21522867201,26655584588
4. Tiền trả nợ gốc vay,,,-14425642993,-27423671404
5. Tiền trả nợ gốc thuê tài chính,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,-1964484
7. Tiền thu khác từ hoạt động tài chính,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,7097224207,-770051300
Lưu chuyển tiền thuần trong kỳ,,,4310509156,3926517015
Tiền và tương đương tiền đầu kỳ,,,21812934470,26142224217
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,18780591,90602886
Tiền và tương đương tiền cuối kỳ,,,26142224217,30159344118
