LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024,LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP
Giai đoạn,,,01/04-30/06,01/07-30/09,
Hợp nhất,,,Mới nhất,Mới nhất,
Kiểm toán,,,VST Tính,VST Tính,
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,,,21080124,-112294443,
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,,,102515706,96606769,
Các khoản dự phòng,,,75541500,-10043268,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,
"Lãi, lỗ từ hoạt động đầu tư",,,-12942,-9620,
Chi phí lãi vay,,,20561394,13340038,
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,,219685782,-12400523,
"Tăng, giảm các khoản phải thu",,,7481696,407207800,
"Tăng, giảm hàng tồn kho",,,-88113794,-154769623,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,,-93167031,22069947,
"Tăng, giảm chi phí trả trước",,,-32154532,-119324833,
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,,,90945774,-15539744,
Thuế thu nhập doanh nghiệp đã nộp,,,-600000,-3674580,
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,-6365419,-2865060,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,97712476,120703384,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,-16312523,-28005903,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,12942,9620,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,-16299580,-27996283,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,,593514392,546348206,
4. Tiền trả nợ gốc vay,,,-676636306,-636205537,
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,-83121914,-89857331,
Lưu chuyển tiền thuần trong kỳ,,,-1709018,2849770,
Tiền và tương đương tiền đầu kỳ,,,5992092,4283074,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,,,4283074,7132844,
