LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024,LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP
Giai đoạn,,,01/04-30/06,01/07-30/09,
Hợp nhất,,,Mới nhất,Mới nhất,
Kiểm toán,,,VST Tính,VST Tính,
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,,,6871857,2853962,
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,,,5149899,4861787,
Các khoản dự phòng,,,3654871,-2257716,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,8878525,-7982247,
"Lãi, lỗ từ hoạt động đầu tư",,,371160,-22919694,
Chi phí lãi vay,,,814444,686242,
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,,25740756,-24757665,
"Tăng, giảm các khoản phải thu",,,-88491272,109934547,
"Tăng, giảm hàng tồn kho",,,-43166857,-70321313,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,,94278950,-12226083,
"Tăng, giảm chi phí trả trước",,,-151793,388834,
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,,,9765347,183027,
Thuế thu nhập doanh nghiệp đã nộp,,,-830590,-2048453,
Tiền thu khác từ hoạt động kinh doanh,,,-32721701,-89500,
Tiền chi khác cho hoạt động kinh doanh,,,-628712,-10529356,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,-36205872,-9465962,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,-7685831,3031550,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,-12000,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,-27987742,-113390836,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,40987742,244040836,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,3985716,17709168,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,9299886,151378719,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,,228834432,73054782,
4. Tiền trả nợ gốc vay,,,-273805289,-214175484,
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,-314904,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,-45285761,-141120702,
Lưu chuyển tiền thuần trong kỳ,,,-72191747,792054,
Tiền và tương đương tiền đầu kỳ,,,398797620,326833089,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,227217,-280793,
