PVC,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,808284041,749629893
2. Các khoản giảm trừ doanh thu,,,244256,-170035
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,808039785,749799928
4. Giá vốn hàng bán,,,747043377,711468464
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,60996408,38331464
6.Doanh thu hoạt động tài chính,,,8393151,5635815
7. Chi phí tài chính,,,1777175,1987492
Trong đó :Chi phí lãi vay,,,814444,686242
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,19139896,8754573
10. Chi phí quản lý doanh nghiệp,,,42155946,31835586
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,6316541,1389627
12. Thu nhập khác,,,1336413,3086909
13. Chi phí khác,,,837824,1622574
14. Lợi nhuận khác,,,498590,1464334
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,6815131,2853962
16. Chi phí thuế TNDN hiện hành,,,1096532,2043492
17. Chi phí thuế TNDN hoãn lại,,,1028547,159077
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,4690052,651393
Lợi ích của cổ đông thiểu số,,,3145612,2153688
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,1544440,-1502296
19. Lãi cơ bản trên cổ phiếu (*),,,19,-24
20. Lãi suy giảm trên cổ phiếu (*),,,,
